parameters,performance
('Layers: [4, 512, 2, 3], Learning rate: 0.0001220703125, Epochs: 5', 506.4955830336064)
('Layers: [4, 256, 2, 3], Learning rate: 0.0001220703125, Epochs: 2', 506.4740752242582)
('Layers: [4, 128, 512, 3], Learning rate: 0.0001220703125, Epochs: 1', 506.3090872220478)
('Layers: [4, 1024, 16, 3], Learning rate: 0.000244140625, Epochs: 3', 505.5922837863342)
('Layers: [4, 256, 3, 3], Learning rate: 0.0001220703125, Epochs: 3', 505.07248465094744)
('Layers: [4, 2, 128, 3], Learning rate: 0.0001220703125, Epochs: 8', 504.9311448150527)
('Layers: [4, 128, 128, 3], Learning rate: 0.0001220703125, Epochs: 3', 503.36852759815605)
('Layers: [4, 64, 128, 3], Learning rate: 0.0001220703125, Epochs: 2', 503.3676916963556)
('Layers: [4, 256, 3], Learning rate: 0.0001220703125, Epochs: 4', 502.6117139352454)
('Layers: [4, 256, 3], Learning rate: 0.0001220703125, Epochs: 2', 501.068165714648)
('Layers: [4, 1024, 64, 3], Learning rate: 0.000244140625, Epochs: 1', 500.9335022651394)
('Layers: [4, 32, 3], Learning rate: 0.00048828125, Epochs: 1', 499.84965821110575)
('Layers: [4, 256, 256, 3], Learning rate: 0.00048828125, Epochs: 1', 499.7796703700904)
('Layers: [4, 128, 32, 3], Learning rate: 0.000244140625, Epochs: 1', 499.67120751175565)
('Layers: [4, 512, 8, 3], Learning rate: 0.0001220703125, Epochs: 5', 499.60339455528003)
('Layers: [4, 4, 32, 3], Learning rate: 0.0001220703125, Epochs: 4', 498.9017220121649)
('Layers: [4, 128, 16, 3], Learning rate: 0.0001220703125, Epochs: 3', 498.78299682490785)
('Layers: [4, 1024, 128, 3], Learning rate: 0.0001220703125, Epochs: 4', 498.5479941877356)
('Layers: [4, 64, 128, 3], Learning rate: 0.0001220703125, Epochs: 6', 497.2664204848182)
('Layers: [4, 512, 8, 3], Learning rate: 0.0001220703125, Epochs: 8', 496.22717480863804)
('Layers: [4, 4, 1024, 3], Learning rate: 0.00048828125, Epochs: 1', 495.74851277024646)
('Layers: [4, 64, 16, 3], Learning rate: 0.0001220703125, Epochs: 4', 495.6795180365898)
('Layers: [4, 4, 2, 3], Learning rate: 0.0001220703125, Epochs: 4', 495.3071103013112)
('Layers: [4, 8, 4, 3], Learning rate: 0.000244140625, Epochs: 2', 495.2207624425387)
('Layers: [4, 32, 3], Learning rate: 0.000244140625, Epochs: 1', 494.9934943068832)
('Layers: [4, 32, 2, 3], Learning rate: 0.0001220703125, Epochs: 3', 494.65397091132576)
('Layers: [4, 1024, 256, 3], Learning rate: 0.000244140625, Epochs: 2', 494.0715482340087)
('Layers: [4, 8, 1024, 3], Learning rate: 0.0001220703125, Epochs: 6', 493.064256272012)
('Layers: [4, 4, 256, 3], Learning rate: 0.0001220703125, Epochs: 3', 492.2812983601819)
('Layers: [4, 512, 1024, 3], Learning rate: 0.0001220703125, Epochs: 1', 492.18587966066457)
('Layers: [4, 256, 32, 3], Learning rate: 0.0001220703125, Epochs: 5', 491.9729173150765)
('Layers: [4, 1024, 3, 3], Learning rate: 0.000244140625, Epochs: 2', 491.8289206150065)
('Layers: [4, 64, 4, 3], Learning rate: 0.0001220703125, Epochs: 5', 491.15308939614124)
('Layers: [4, 8, 4, 3], Learning rate: 0.0001220703125, Epochs: 14', 490.66036840708426)
('Layers: [4, 512, 8, 3], Learning rate: 0.0001220703125, Epochs: 3', 490.1299115082578)
('Layers: [4, 4, 32, 3], Learning rate: 0.000244140625, Epochs: 4', 490.084195950117)
('Layers: [4, 16, 256, 3], Learning rate: 0.0001220703125, Epochs: 5', 489.9175865523091)
('Layers: [4, 1024, 1024, 3], Learning rate: 0.00048828125, Epochs: 1', 489.5564392514295)
('Layers: [4, 64, 128, 3], Learning rate: 0.000244140625, Epochs: 2', 489.24998452082343)
('Layers: [4, 512, 512, 3], Learning rate: 0.00048828125, Epochs: 1', 489.0295767329578)
('Layers: [4, 32, 2, 3], Learning rate: 0.0001220703125, Epochs: 1', 488.59806959768497)
('Layers: [4, 128, 4, 3], Learning rate: 0.0001220703125, Epochs: 2', 488.4754262938017)
('Layers: [4, 2, 2, 3], Learning rate: 0.0001220703125, Epochs: 1', 487.9914348043927)
('Layers: [4, 16, 1024, 3], Learning rate: 0.000244140625, Epochs: 1', 486.667740171631)
('Layers: [4, 8, 32, 3], Learning rate: 0.0001220703125, Epochs: 6', 486.3582364893756)
('Layers: [4, 2, 1024, 3], Learning rate: 0.00048828125, Epochs: 1', 485.2988930663835)
('Layers: [4, 32, 2, 3], Learning rate: 0.0001220703125, Epochs: 8', 484.62897606727876)
('Layers: [4, 32, 32, 3], Learning rate: 0.0001220703125, Epochs: 2', 484.1138706914736)
('Layers: [4, 2, 4, 3], Learning rate: 0.0001220703125, Epochs: 3', 482.7488557162958)
('Layers: [4, 64, 3, 3], Learning rate: 0.0001220703125, Epochs: 7', 482.24612546929256)
('Layers: [4, 32, 3, 3], Learning rate: 0.000244140625, Epochs: 2', 482.1674666474365)
('Layers: [4, 256, 512, 3], Learning rate: 0.000244140625, Epochs: 1', 481.8648654522997)
('Layers: [4, 1024, 32, 3], Learning rate: 0.000244140625, Epochs: 4', 481.5697702230381)
('Layers: [4, 4, 32, 3], Learning rate: 0.00048828125, Epochs: 2', 481.3538714266161)
('Layers: [4, 64, 32, 3], Learning rate: 0.0001220703125, Epochs: 1', 480.8000822348646)
('Layers: [4, 128, 128, 3], Learning rate: 0.000244140625, Epochs: 1', 480.5714799053864)
('Layers: [4, 2, 1024, 3], Learning rate: 0.0001220703125, Epochs: 4', 480.3590954382379)
('Layers: [4, 4, 256, 3], Learning rate: 0.0001220703125, Epochs: 4', 479.07614822116597)
('Layers: [4, 256, 256, 3], Learning rate: 0.0001220703125, Epochs: 1', 476.7557337863632)
('Layers: [4, 1024, 32, 3], Learning rate: 0.000244140625, Epochs: 1', 476.1135562862498)
('Layers: [4, 512, 3], Learning rate: 0.0001220703125, Epochs: 4', 475.8517009676622)
('Layers: [4, 128, 4, 3], Learning rate: 0.000244140625, Epochs: 1', 475.7102621658691)
('Layers: [4, 256, 16, 3], Learning rate: 0.0001220703125, Epochs: 12', 475.6674787962826)
('Layers: [4, 1024, 128, 3], Learning rate: 0.0001220703125, Epochs: 3', 474.98097874101904)
('Layers: [4, 64, 512, 3], Learning rate: 0.0001220703125, Epochs: 2', 474.91965950783106)
('Layers: [4, 16, 512, 3], Learning rate: 0.0001220703125, Epochs: 3', 474.91171260106927)
('Layers: [4, 64, 1024, 3], Learning rate: 0.0001220703125, Epochs: 4', 474.2256035746839)
('Layers: [4, 64, 256, 3], Learning rate: 0.0001220703125, Epochs: 2', 474.22280197224853)
('Layers: [4, 64, 8, 3], Learning rate: 0.0001220703125, Epochs: 3', 473.9867484877357)
('Layers: [4, 1024, 256, 3], Learning rate: 0.0009765625, Epochs: 1', 473.5183711152439)
('Layers: [4, 4, 16, 3], Learning rate: 0.0001220703125, Epochs: 2', 473.421858244048)
('Layers: [4, 2, 1024, 3], Learning rate: 0.0001220703125, Epochs: 5', 473.04728555361606)
('Layers: [4, 4, 32, 3], Learning rate: 0.0001220703125, Epochs: 5', 472.0545196934707)
('Layers: [4, 2, 32, 3], Learning rate: 0.000244140625, Epochs: 1', 471.78962821255965)
('Layers: [4, 128, 8, 3], Learning rate: 0.00048828125, Epochs: 1', 471.1121194064916)
('Layers: [4, 512, 16, 3], Learning rate: 0.0001220703125, Epochs: 6', 470.6257515220285)
('Layers: [4, 128, 32, 3], Learning rate: 0.0001220703125, Epochs: 5', 470.06158182678263)
('Layers: [4, 512, 3], Learning rate: 0.000244140625, Epochs: 1', 469.9051688984707)
('Layers: [4, 32, 2, 3], Learning rate: 0.0001220703125, Epochs: 4', 469.7091510346564)
('Layers: [4, 512, 128, 3], Learning rate: 0.0001220703125, Epochs: 6', 469.1388377196771)
('Layers: [4, 128, 1024, 3], Learning rate: 0.0001220703125, Epochs: 1', 468.9319430946593)
('Layers: [4, 64, 2, 3], Learning rate: 0.0001220703125, Epochs: 3', 468.5130719915749)
('Layers: [4, 64, 2, 3], Learning rate: 0.0001220703125, Epochs: 5', 468.37003473173684)
('Layers: [4, 512, 64, 3], Learning rate: 0.0001220703125, Epochs: 3', 467.65784272886236)
('Layers: [4, 8, 256, 3], Learning rate: 0.0001220703125, Epochs: 6', 467.23852177867224)
('Layers: [4, 1024, 512, 3], Learning rate: 0.0009765625, Epochs: 1', 466.8226093207296)
('Layers: [4, 4, 256, 3], Learning rate: 0.0001220703125, Epochs: 2', 466.6790096612935)
