parameters,performance
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 7', 287.76991389926474)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 10', 286.66086515497716)
('Layers: [8, 64, 5], Learning rate: 0.00048828125, Epochs: 1', 285.5979888834825)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 13', 285.08507574339626)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 13', 285.0770956507456)
('Layers: [8, 32, 5], Learning rate: 0.001953125, Epochs: 1', 284.3592996944744)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 3', 282.9267298301784)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 6', 281.7209023669761)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 6', 281.28047454864503)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 10', 280.97334964064646)
('Layers: [8, 128, 5], Learning rate: 0.00048828125, Epochs: 1', 280.9248398640601)
('Layers: [8, 512, 5], Learning rate: 0.00048828125, Epochs: 2', 280.2449855546816)
('Layers: [8, 4, 5], Learning rate: 0.0009765625, Epochs: 1', 279.5987399670241)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 5', 279.3422858608444)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 15', 277.53432365530955)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 5', 277.31806815199695)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 4', 276.871534513146)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 15', 276.5597037882043)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 17', 276.0996715926819)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 10', 274.33330594413167)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 12', 273.6478132068961)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 12', 272.9066697947931)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 9', 272.85296119516556)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 7', 272.75596881208514)
